data,Name,Games,tackles made,tackles won,intercept,total blocks,total clearances,total red cards,total yellow cards,total saves,saves per goal
Season_16,S. Heung-Min,10,2.45,1.42,0.9,2.32,0,0,0.26,0.13,0
Season_16,J. Clasie,08,3.25,1.8,2.71,2.53,0,0,0.54,0.36,0
Season_16,D. Watmore,13,1.34,1.05,0.77,2.2,0,0,0.1,0.19,0
Season_16,S. McQueen,05,6.68,4.9,6.68,4.9,12.92,0,0,1.78,0
Season_16,Y. Bolasie,13,1.65,1.19,0.28,0.92,0,0,0.28,0.18,0
Season_16,L. Cattermole,02,6.65,4.6,10.23,7.67,0,0,2.05,3.07,0
Season_16,B. Ivanovic,09,2.11,2.11,1.95,1.46,0,0,0.32,0.32,0
Season_16,S. Kingsley,07,1.85,1.54,1.38,3.08,3.85,0,0,0.62,0
Season_16,J. Stanislas,09,1.9,1.14,1.14,1.9,0,0,0.13,0.51,0
Season_16,G. Leadbitter,02,14,9,10,16,0,0,1,1,0
Season_16,D. Gibson,00,13,11,14,8,0,0,4,2,0
Season_16,R. Holding,03,4,3,3.33,6.33,0,0,1,2,0
Season_16,R. Mason,10,1.72,1.19,1.98,1.59,0,0,0.53,0.53,0
Season_16,M. Sissoko,06,3.85,3.3,1.93,2.2,0,0,0.83,0.28,0
Season_16,D. Origi,11,3.8,3.51,0.88,4.09,0.88,0,0,0.58,0
Season_16,J. Kirchhoff,04,4.21,3.01,3.31,3.01,0,0,0.3,0.3,0
Season_16,V. Kompany,03,10.96,7.83,12.52,3.91,32.87,0,3.91,3.13,0
Season_16,D. Ayala,06,2.54,1.15,6.23,3.23,15.92,0,0.69,1.38,0
Season_16,A. Lennon,05,6.57,6.07,2.02,6.07,6.07,0,0,0.51,0
Season_16,M. Olsson,00,10,7,10,27,62,0,2,4,0
Season_16,C. Martina,06,2.86,2.34,3.9,3.38,4.16,0,0,0.26,0
Season_16,S. Long,09,3.38,2.81,1.69,4.78,0,0,0.56,1.13,0
Season_16,I. Success,06,7.62,5.24,3.33,1.9,0,0,0.95,0.95,0
Season_16,C. Smalling,07,2.39,1.79,2.59,2.39,23.89,0,0,1.79,0
Season_16,M. van der Hoorn,05,1.8,1.6,3.6,2.6,0,0,0.2,1.4,0
Season_16,C. Austin,13,1.45,1.14,0.42,0.73,0,0,0.1,0.1,0
Season_16,J. Ibe,13,1.35,1.12,1.01,0.9,0.45,0,0,0.22,0
Season_16,O. Giroud,07,9.84,5.63,5.63,7.73,0,0,1.41,2.81,0
Season_16,I. Slimani,07,2.48,1.72,0.57,2.48,0,0,0.19,0.57,0
Season_16,M. Henriksen,06,2.83,1.61,1.01,2.22,0,0,0.2,0.61,0
Season_16,M. Niang,00,11,6,11,16,0,0,2,1,0
Season_16,H. Winks,06,7.8,5.67,3.54,10.63,0,0,0.71,1.42,0
Season_16,T. Mings,00,10,10,5,10,42,0,0,5,0
Season_16,S. Vokes,13,0.59,0.59,0.42,1.94,2.53,0,0,0.67,0
Season_16,S. Okaka,03,10.38,7.79,0.87,7.79,0,0,4.33,0.87,0
Season_16,V. Anichebe,05,2.85,2.22,2.54,4.12,0,0,0.63,0.32,0
Season_16,L. Cook,01,10,8,7,9,0,0,1,3,0
Season_16,C. Benteke,12,0.76,0.51,0.51,1.35,0,0,0.93,0.08,0
Season_16,Z. Ibrahimovic,12,0.83,0.5,0.83,0.75,0,0,0.58,0.08,0
Season_16,J. Walters,11,1.49,1.12,0.93,3.16,0,0,0.19,0.74,0
Season_16,B. Afobe,10,2.78,2.47,1.86,2.16,0,0,0.31,0.62,0
Season_16,O. Ighalo,10,1.12,0.9,0.56,0.45,0,0,0.11,0.11,0
Season_16,S. Berahino,04,3.32,2.21,0.37,4.8,0,0,0.37,0.37,0
Season_16,S. Cazorla,08,1.45,0.29,1.16,2.33,0,0,0.29,0.29,0
Season_16,A. Gray,07,1.81,0.36,0.72,3.44,0,0,0.36,0.18,0
Season_16,P. McNair,09,2.05,1.37,0.91,1.82,1.37,0,0,0.46,0
Season_16,R. Lukaku,12,0.8,0.53,0,0.97,0,0,0.27,0.35,0
Season_16,B. Galloway,03,2.54,2.18,2.9,2.18,2.9,0,0,0.36,0
Season_16,C. Wilson,13,0.55,0.55,0.46,0.91,0.09,0,0,0.27,0
Season_16,A. Westwood,00,7,4,6,11,0,0,3,4,0
Season_16,O. Elabdellaoui,00,6,4,9,8,35,0,0,1,0
Season_16,S. Maloney,05,4.8,3.6,0.6,3,3,0,0,0.6,0
Season_16,Bojan,07,1.67,1.05,0.63,1.26,0,0,0.21,0.21,0
Season_16,K. Zouma,00,8,5,5,2,12,0,0,1,0
Season_16,J. Olsson,04,1.13,0.56,3.09,3.09,10.41,0,0.84,2.25,0
Season_16,P. Souaré,03,1.65,0.99,3.31,1.65,2.65,0,0,0.66,0
Season_16,F. Delph,02,7,3,7,3,0,0,1,1,0
Season_16,M. Sakho,00,3,2,14,6,48,0,0,3,0
Season_16,R. Gestede,00,6,5,2,2,0,0,3,1,0
Season_16,A. Carroll,01,0,0,6,0,0,0,3,2,0
Season_17,W. Ndidi,33,4.66,3,1.69,2.56,0,0.07,0,0.34,0
Season_17,I. Gueye,32,4.49,3.57,2.38,2.5,0,0.04,0,0.35,0
Season_17,N. Kanté,34,3.66,2.5,2.76,1.39,0,0,0.1,0.13,0
Season_17,P. Zabaleta,37,2.73,1.9,1.73,2.84,4.32,0,0.26,0.37,0
Season_17,K. Naughton,34,2.85,1.86,1.86,3.15,4.45,0,0.03,0.4,0
Season_17,O. Romeu,34,2.92,1.98,2.17,2.01,0,0,0.35,0.6,0
